H-ID;title_main;title_alt;author_id;author;publisher_id;publisher;publication_place_id;publication_place;publication_date;url1;url2;genres;PDF
4406;Đường gươm họ Lý;;2462;Văn Tuyền;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb31541899j;https://gallica.bnf.fr/ark:/12148/bpt6k42388040.pdf;;True
4408;Duy vật biện chứng pháp;;2463;Trần Hữu Độ;3303;Éditions Tân Việt;3216;Hà Nội;1946;http://catalogue.bnf.fr/ark:/12148/cb31489153w;https://gallica.bnf.fr/ark:/12148/bpt6k42412983.pdf;;True
4409;Duy vật biện chứng pháp;;2463;Trần Hữu Độ;3303;Éditions Tân Việt;3216;Hà Nội;1945;http://catalogue.bnf.fr/ark:/12148/cb31489152j;https://gallica.bnf.fr/ark:/12148/bpt6k42444749;Chính trị - Politique(s);True
4410;Hát dặm Nghệ Tĩnh;Chansons superposées de Nghê Tinh, étude;2464;Nguyễn Đổng Chi;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35756223z;https://gallica.bnf.fr/ark:/12148/bpt6k4238831w.pdf;;True
4411;Hiến-pháp thường-thức;Notions élémentaires de Droit constitutionnel;2465;Nguyễn Phương Nam;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35756669c;https://gallica.bnf.fr/ark:/12148/bpt6k42434406;;True
4412;Học thuyết Freud;Le Freudisme, essai;2460;Kiều Thanh Quế;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb357595612;https://gallica.bnf.fr/ark:/12148/bpt6k42427346;;True
4413;Luận tùng;;2086;Phan Văn Hùm;3303;Éditions Tân Việt;3216;Hà Nội;1943;https://catalogue.bnf.fr/ark:/12148/cb35755075d;https://gallica.bnf.fr/ark:/12148/bpt6k4245911t;;True
4414;Luận tùng;Essais : recueil d'articles publiés dans diverse revues par divers auteurs entre 1933 et 1937;;;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35755075d;https://gallica.bnf.fr/ark:/12148/bpt6k4245911t.pdf;;True
4415;Lưỡi kiếm Hồng-Vân;;2462;Văn Tuyền;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb315419049;https://gallica.bnf.fr/ark:/12148/bpt6k4239274w.pdf;;True
4416;Ly Tao;Li sao, poème traduit en vers;3756;Nhượng Tống;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb357580874;;;False
